id,date,user,pc,activity
{B2K4-O4OM25ZY-5594UJVD},01/14/2010 08:06:42,MOH0273,PC-6699,Connect
{B7L6-B7GU99CY-8196VESS},01/14/2010 08:08:52,MOH0273,PC-6699,Disconnect
{K7S9-B7KM99PU-4201DFFW},01/14/2010 08:32:24,MOH0273,PC-6699,Connect
{X6I6-U8RJ99TN-6623ZMKT},01/14/2010 08:43:28,MOH0273,PC-6699,Disconnect
{R9L3-I4QB48OT-6519WOOI},01/14/2010 10:31:33,MOH0273,PC-6699,Connect
{E5H6-M3EO46MP-7472WEPB},01/14/2010 10:34:42,MOH0273,PC-6699,Disconnect
{H3G2-R3YL80ZL-5512UEPW},01/14/2010 10:52:28,MOH0273,PC-6699,Connect
{B0J6-U5CB26WE-1993CLDN},01/14/2010 11:14:06,MOH0273,PC-6699,Disconnect
{Y0I9-P0RZ54PI-0261BMYR},01/14/2010 13:51:17,MOH0273,PC-6699,Connect
{N8W8-I7NC68WU-2483OSKW},01/14/2010 14:07:07,MOH0273,PC-6699,Disconnect
{P8U7-O5TV65MV-6341WEOM},01/14/2010 15:32:04,MOH0273,PC-6699,Connect
{P7J3-O5NC19RO-2735DJZY},01/14/2010 15:36:02,MOH0273,PC-6699,Disconnect
{G0I0-L9MW00RN-4091BDXY},01/14/2010 16:49:16,MOH0273,PC-6699,Connect
{V0M7-T5RF07NL-8677LWLH},01/14/2010 16:52:19,MOH0273,PC-6699,Disconnect
{X1O9-D0CZ78OP-5039NVXA},01/15/2010 07:40:35,MOH0273,PC-6699,Connect
{G4L2-I2AN95AR-7039IKNC},01/15/2010 07:48:43,MOH0273,PC-6699,Disconnect
{H7D2-W8FG99LV-2340AXLG},01/15/2010 09:08:51,MOH0273,PC-6699,Connect
{A2K8-D2SR04VU-0482YYTI},01/15/2010 10:00:19,MOH0273,PC-6699,Disconnect
{P7V7-R6IL57UX-3666XNFC},01/15/2010 10:01:42,MOH0273,PC-6699,Connect
{Z7F7-J7LB82EN-5616IOIH},01/15/2010 10:38:49,MOH0273,PC-6699,Disconnect
{Q8U7-X3SU70MD-2843GMAI},01/15/2010 11:37:25,MOH0273,PC-6699,Connect
{Z8N9-W7RK50CM-6960LBZW},01/15/2010 12:03:15,MOH0273,PC-6699,Disconnect
{G3Y1-O4GO36TP-0659TFEO},01/15/2010 12:30:02,MOH0273,PC-6699,Connect
{H6C2-O9DR61AA-6818ICPU},01/15/2010 12:31:58,MOH0273,PC-6699,Disconnect
{A6Y1-X6VB63AH-0853FYTP},01/15/2010 14:16:36,MOH0273,PC-6699,Connect
{E6X2-R2OK83UC-6940ANQC},01/15/2010 14:33:11,MOH0273,PC-6699,Disconnect
{H3E5-B7GN28AA-0817PJGU},01/15/2010 15:06:30,MOH0273,PC-6699,Connect
{P0A4-C1LB35QU-2900UNDT},01/15/2010 15:06:30,MOH0273,PC-6699,Disconnect
{E6F3-O1LA05MZ-1227GKIS},01/15/2010 16:33:19,MOH0273,PC-6699,Connect
{V4T3-V2LC30CA-9456ELKJ},01/15/2010 16:59:18,MOH0273,PC-6699,Disconnect
{C4X8-C0SL90YS-4802INTZ},01/17/2010 08:22:01,MOH0273,PC-6699,Connect
{J3W8-X7XE40TT-0314MIUG},01/17/2010 08:28:32,MOH0273,PC-6699,Disconnect
{C5N9-L7QC43EX-2678KDPO},01/17/2010 13:28:19,MOH0273,PC-6699,Connect
{I6G1-G1JH54WH-6015BBNL},01/17/2010 13:35:29,MOH0273,PC-6699,Disconnect
{C5Z5-M6EA43UY-8251DIBP},01/17/2010 13:48:03,MOH0273,PC-6699,Connect
{U9K3-H7XN15RG-6915LWIC},01/17/2010 13:56:25,MOH0273,PC-6699,Disconnect
{K4P4-H8HB37HT-3162QWCG},01/17/2010 14:08:25,MOH0273,PC-6699,Connect
{T9M6-U6II94RV-0284ZVML},01/17/2010 14:53:48,MOH0273,PC-6699,Disconnect
{C3F1-Y7BK19ZC-5668OTPH},01/17/2010 14:58:58,MOH0273,PC-6699,Connect
{U4A8-J3QX70NW-8215GUUB},01/17/2010 15:14:29,MOH0273,PC-6699,Disconnect
{R7N9-Z4DZ15WX-6430XCHW},01/17/2010 15:51:58,MOH0273,PC-6699,Connect
{R7Y6-T5AI21BF-4961KFPG},01/17/2010 16:06:44,MOH0273,PC-6699,Disconnect
{O7I4-T0LL33NR-8517KOPF},01/17/2010 16:45:08,MOH0273,PC-6699,Connect
{X8D0-I8CD23ON-6449CXYP},01/17/2010 17:05:30,MOH0273,PC-6699,Disconnect
{D9H0-D4PB17YF-0535STHK},01/18/2010 08:32:14,MOH0273,PC-6699,Connect
{A4P4-Y0AI11HK-7173JSUY},01/18/2010 08:54:41,MOH0273,PC-6699,Disconnect
{F4K6-N0XS15OG-7003MUSM},01/18/2010 09:06:25,MOH0273,PC-6699,Connect
{M4D3-B2BW10DY-6569RDTH},01/18/2010 09:18:04,MOH0273,PC-6699,Disconnect
{I5S7-E6BI42NP-8668XLEQ},01/18/2010 09:41:43,MOH0273,PC-6699,Connect
{H7V0-T1GE94DS-3425TQGL},01/18/2010 10:22:20,MOH0273,PC-6699,Disconnect
{L8M9-U8TK15AR-1505PXJI},01/18/2010 11:05:56,MOH0273,PC-6699,Connect
{Z0R8-D8PK04XI-2699HQQC},01/18/2010 11:14:49,MOH0273,PC-6699,Disconnect
{M2L7-H9EM37ED-0539PJFV},01/18/2010 12:38:23,MOH0273,PC-6699,Connect
{P1J8-B9GX81CN-8180LAEW},01/18/2010 12:46:50,MOH0273,PC-6699,Disconnect
{G7W5-L2RO02GO-1596TBIE},01/18/2010 13:31:34,MOH0273,PC-6699,Connect
{F8S9-T6PS98AP-1019SXKW},01/18/2010 13:32:20,MOH0273,PC-6699,Disconnect
{U3W9-X2IV31GW-0646DWSC},01/18/2010 13:46:58,MOH0273,PC-6699,Connect
{R6F2-G4ZV74YG-6903PPHZ},01/18/2010 14:01:09,MOH0273,PC-6699,Disconnect
{J9V7-H2WW49AJ-5640TGEQ},01/18/2010 15:55:17,MOH0273,PC-6699,Connect
{Z8Z5-G4QZ96TV-6255LWOH},01/18/2010 16:13:12,MOH0273,PC-6699,Disconnect
{U7J1-U7MP16HT-0602DVVY},01/18/2010 16:21:01,MOH0273,PC-6699,Connect
{M2N9-I3BW95OQ-0712TVRL},01/18/2010 16:50:34,MOH0273,PC-6699,Disconnect
{G4I8-G7YX08LU-8006AJHN},01/19/2010 07:36:51,MOH0273,PC-6699,Connect
{O1M9-E3YH41DP-0818CSQN},01/19/2010 08:03:00,MOH0273,PC-6699,Disconnect
{X8Q3-Q2US96DJ-6480NKSV},01/19/2010 08:09:55,MOH0273,PC-6699,Connect
{T9S9-W3CB72PC-3264PHJK},01/19/2010 08:18:11,MOH0273,PC-6699,Disconnect
{V4Y5-Q8QN20VJ-0985KGWL},01/19/2010 09:15:09,MOH0273,PC-6699,Connect
{R7Z0-H2EA63ZG-3898EPLJ},01/19/2010 09:32:08,MOH0273,PC-6699,Disconnect
{Y1U1-H0HL80EI-2026DQDU},01/19/2010 09:52:42,MOH0273,PC-6699,Connect
{C7R3-L0PR92JV-9358BLYV},01/19/2010 09:57:17,MOH0273,PC-6699,Disconnect
{O1X8-E7TO42QF-6056UUZG},01/19/2010 13:37:40,MOH0273,PC-6699,Connect
{A0A2-J8RP45NL-9493QUVD},01/19/2010 13:39:34,MOH0273,PC-6699,Disconnect
{B4X1-L3PB60OW-7719ACHV},01/19/2010 13:58:38,MOH0273,PC-6699,Connect
{U3V1-P3LS46CQ-2488WUUG},01/19/2010 14:06:41,MOH0273,PC-6699,Disconnect
{C6X6-U0RM61KU-4709UUHF},01/19/2010 15:01:05,MOH0273,PC-6699,Connect
{C1W2-P7JA02JE-5404RFTJ},01/19/2010 15:20:42,MOH0273,PC-6699,Disconnect
{B8R5-T3KS26BK-0693HMNL},01/19/2010 15:50:19,MOH0273,PC-6699,Connect
{U7Q4-D2YD72HL-5839EFLL},01/19/2010 16:01:01,MOH0273,PC-6699,Disconnect
{Y2N6-S0TL11BO-1784KAZJ},01/20/2010 07:38:49,MOH0273,PC-6699,Connect
{J2I0-S4ML67VP-5512NNUT},01/20/2010 07:49:11,MOH0273,PC-6699,Disconnect
{A4X3-T4QY34ON-2175HEZT},01/20/2010 07:56:16,MOH0273,PC-6699,Connect
{G0A1-R0JT77YC-4338GVZA},01/20/2010 08:05:24,MOH0273,PC-6699,Disconnect
{W0O0-H1IA89FR-6061CAQN},01/20/2010 08:19:46,MOH0273,PC-6699,Connect
{I3A8-L8ZT71CU-8080LNFD},01/20/2010 08:20:03,MOH0273,PC-6699,Disconnect
{M0J3-B4VQ54OM-2676QZPO},01/20/2010 10:19:04,MOH0273,PC-6699,Connect
{R0H9-S9YW18LO-6074CWBI},01/20/2010 10:45:24,MOH0273,PC-6699,Disconnect
{F7L8-Z0BZ96MN-7443FCSA},01/20/2010 11:38:57,MOH0273,PC-6699,Connect
{M1H6-W5ST39AW-8353QCVA},01/20/2010 12:12:15,MOH0273,PC-6699,Disconnect
{Q0Y5-J6QY15OK-9941ZIMN},01/20/2010 12:16:52,MOH0273,PC-6699,Connect
{X9O4-M1CU55HZ-2855GPMJ},01/20/2010 12:30:02,MOH0273,PC-6699,Disconnect
{A4B8-P1ZB20AN-0151GTAK},01/20/2010 13:50:43,MOH0273,PC-6699,Connect
{W8F5-C2BQ36SN-5786NLNN},01/20/2010 14:05:23,MOH0273,PC-6699,Disconnect
{W1Y3-V5XF12TM-8508ZTGJ},01/20/2010 15:12:47,MOH0273,PC-6699,Connect
{Q9V3-O7OE66WM-6069UZXF},01/20/2010 15:55:59,MOH0273,PC-6699,Disconnect
{Z9C7-T6UH23XW-2438AEBD},01/20/2010 15:58:49,MOH0273,PC-6699,Connect
{E5Y1-Q8TS59TK-6273PKPU},01/20/2010 16:01:26,MOH0273,PC-6699,Disconnect
{S3A1-E9LJ69WP-3838JZBC},01/21/2010 07:33:48,MOH0273,PC-6699,Connect
{B8Q9-N0EE81YF-9774EPBT},01/21/2010 08:04:57,MOH0273,PC-6699,Disconnect
{T5J4-F5CW29JQ-7404FHZE},01/21/2010 08:38:00,MOH0273,PC-6699,Connect
{E0G4-C6RB03ZA-0059AXBO},01/21/2010 09:08:04,MOH0273,PC-6699,Disconnect
{C0R9-L1ZD39IG-6852NNGU},01/21/2010 09:35:29,MOH0273,PC-6699,Connect
{S1Z2-A1DM59SN-6081IDOS},01/21/2010 09:44:49,MOH0273,PC-6699,Disconnect
{T7O0-U2TZ80KU-5071XPOA},01/21/2010 11:26:05,MOH0273,PC-6699,Connect
{L8L6-H1LX22HE-5223ZJXV},01/21/2010 12:35:18,MOH0273,PC-6699,Disconnect
{K1M1-F7RV03QZ-6415ATJK},01/21/2010 13:13:54,MOH0273,PC-6699,Connect
{L4R4-U5NK37QC-5002CART},01/21/2010 13:33:48,MOH0273,PC-6699,Disconnect
{P8J8-G1FZ42GC-9472MYTK},01/21/2010 13:59:58,MOH0273,PC-6699,Connect
{X7R6-G7VQ76PI-6849QITT},01/21/2010 14:16:00,MOH0273,PC-6699,Disconnect
{I9O5-Q5AY81KL-8185SLSF},01/21/2010 16:31:14,MOH0273,PC-6699,Connect
